Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lot Tamount;Lqliaa;;30.286357;-9.44521;;;
ecole;🎓;Al Fadila High School;Lqliaa;;30.283149;-9.441849;;;
ecole;🎓;Al Hanssali Middle School;Lqliaa;;30.286781;-9.456036;;;
ecole;🎓;School الوفاق;Lqliaa;;30.287257;-9.456701;;;
ecole;🎓;Charif El Idrissi School;Lqliaa;;30.29427;-9.455242;;;
pharmacie;💊;Ayour Pharmacy;Lqliaa;;30.286562;-9.451402;;;
pharmacie;💊;Chtouka Pharmacy;Lqliaa;;30.28153;-9.448822;;+212 528311338;Mo-Sa 09:30-21:30
pharmacie;💊;Jnanat Sidi Daouad Pharmacy;Lqliaa;;30.291293;-9.450459;;;
pharmacie;💊;La Kasbah Pharmacy;Lqliaa;;30.288693;-9.453338;;;
pharmacie;💊;ELJAMALI Pharmacy;Lqliaa;;30.295307;-9.448915;;;
pharmacie;💊;Ouakssim Pharmacy;Lqliaa;;30.293042;-9.456668;;;
pharmacie;💊;El Ouahhabi Pharmacy;Lqliaa;;30.295278;-9.456412;;;
mosquee;🕌;Mosque الأمل;Lqliaa;;30.287848;-9.453065;;;
mosquee;🕌;Mosque القدس;Lqliaa;;30.292612;-9.457031;;;
cafe;☕;mercando Café;Klea Terminus;;30.286075;-9.451192;;08 08 59 88 99;Mo-Su 06:00-23:00
cafe;☕;Dreams Café;Lqliaa;;30.292066;-9.455779;;;
cafe;☕;Safir Bleu Café;Lqliaa;;30.292818;-9.456477;;;
cafe;☕;Café سناك سلطان;Lqliaa;;30.292977;-9.457074;;;
cafe;☕;Café محلبة إبراهيم للمأكولات المتنوعة;Lqliaa;;30.293397;-9.45752;;;
transport;🚌;Klea Terminus;Lqliaa;;30.28579;-9.451069;;;
transport;🚌;Haut Klea;Lqliaa;;30.288599;-9.452947;;;
transport;🚌;Bousbate;Lqliaa;;30.278712;-9.44678;;;
transport;🚌;Klea Soufla;Lqliaa;;30.290524;-9.454564;;;
transport;🚌;Laaouina Source;Lqliaa;;30.294139;-9.457877;;;
