Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lot Tamount;Lqliaa;;30.286357;-9.44521;;;
ecole;🎓;Instituto Al Fadila;Lqliaa;;30.283149;-9.441849;;;
ecole;🎓;Colegio Al Hanssali;Lqliaa;;30.286781;-9.456036;;;
ecole;🎓;Escuela الوفاق;Lqliaa;;30.287257;-9.456701;;;
ecole;🎓;Escuela Charif El Idrissi;Lqliaa;;30.29427;-9.455242;;;
pharmacie;💊;Farmacia Ayour;Lqliaa;;30.286562;-9.451402;;;
pharmacie;💊;Farmacia Chtouka;Lqliaa;;30.28153;-9.448822;;+212 528311338;Mo-Sa 09:30-21:30
pharmacie;💊;Farmacia Jnanat Sidi Daouad;Lqliaa;;30.291293;-9.450459;;;
pharmacie;💊;Farmacia La Kasbah;Lqliaa;;30.288693;-9.453338;;;
pharmacie;💊;Farmacia ELJAMALI;Lqliaa;;30.295307;-9.448915;;;
pharmacie;💊;Farmacia Ouakssim;Lqliaa;;30.293042;-9.456668;;;
pharmacie;💊;Farmacia El Ouahhabi;Lqliaa;;30.295278;-9.456412;;;
mosquee;🕌;Mezquita الأمل;Lqliaa;;30.287848;-9.453065;;;
mosquee;🕌;Mezquita القدس;Lqliaa;;30.292612;-9.457031;;;
cafe;☕;Café mercando;Klea Terminus;;30.286075;-9.451192;;08 08 59 88 99;Mo-Su 06:00-23:00
cafe;☕;Café Dreams;Lqliaa;;30.292066;-9.455779;;;
cafe;☕;Café Safir Bleu;Lqliaa;;30.292818;-9.456477;;;
cafe;☕;Café سناك سلطان;Lqliaa;;30.292977;-9.457074;;;
cafe;☕;Café محلبة إبراهيم للمأكولات المتنوعة;Lqliaa;;30.293397;-9.45752;;;
transport;🚌;Klea Terminus;Lqliaa;;30.28579;-9.451069;;;
transport;🚌;Haut Klea;Lqliaa;;30.288599;-9.452947;;;
transport;🚌;Bousbate;Lqliaa;;30.278712;-9.44678;;;
transport;🚌;Klea Soufla;Lqliaa;;30.290524;-9.454564;;;
transport;🚌;Laaouina Source;Lqliaa;;30.294139;-9.457877;;;
