Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Tazroute;Agadir;;30.358739340382268;-9.460496051159458;;;
admin;🏛️;Ait Melloul Hay Azrou;AIT MELLOUL, AIT MELLOUL;;30.3600169;-9.4623284;;;
transport;🚌;Azrou 5 - Station Afriquia;;;30.3627089;-9.4528744;;;
transport;🚌;Afoulki;;;30.3604524;-9.4579786;;;
transport;🚌;Cooperative Taswite;;;30.3602302;-9.460693;;;
transport;🚌;3Eme Annexe Adminstrative;;;30.3600867;-9.4649792;;;
transport;🚌;Droguorie Ait Nasr;;;30.3598715;-9.4679189;;;
transport;🚌;Arrondissement Azrou;;;30.3589666;-9.4707996;;;
transport;🚌;Ecole Primaire Al Majd;;;30.3647941;-9.4473785;;;
cafe;☕;امين;;;30.3603732;-9.4581053;;;
cafe;☕;روزانو;AV MED V BLOC 3 AZROU;;30.3630063;-9.4527795;;;
pharmacie;💊;Pharmacie Al Masjid صيدلية المسجد;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3614608;-9.4542824;;;
pharmacie;💊;Pharmacie Douhi صيدلية دوحي;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3643346;-9.4540185;;;
pharmacie;💊;Pharmacie Al Qods صيدلية القدس;Ait Melloul;;30.3629479;-9.4572327;;;
pharmacie;💊;Pharmacie La Grande Pharmacie Azrou الصيدلية الكبرى أزرو;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3603921;-9.4622184;;;
pharmacie;💊;Pharmacie Assaiss صيدلية أسايس;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3623588;-9.4622201;;;
pharmacie;💊;Pharmacie Habiba صيدلية حبيبة;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3599137;-9.4665057;;;
ecole;🎓;Institut Agronomique et Veterinaire Hassan II;;;30.3520294;-9.4767829;;;
ecole;🎓;مدرسة الرجاء;;;30.3652627;-9.4507612;;;
ecole;🎓;مدرسة القدس;;;30.3638048;-9.4575475;;;
ecole;🎓;مدرسة ابن تومرت;;;30.3610834;-9.4666827;;;
ecole;🎓;مدرسة الزيتون;;;30.3590122;-9.4725849;;;
ecole;🎓;مدرسة جابر إبن حيان;;;30.3552932;-9.4582016;;;
ecole;🎓;Campus Universitaire Ait Melloul;N10, Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3546101;-9.4725175;;;Mo-Sa 08:30-18:30
ecole;🎓;مدرسة الأمل;;;30.3673478;-9.448326;;;
ecole;🎓;مدرسة الاجيال;;;30.3628772;-9.4624109;;;
loisir;🌿;Zone de sport;;;30.3557698;-9.4719612;;;
ecole;🎓;Faculté des Sciences Appliquées Ibn Zohr Ait Melloul;Route Nationale N10. BP 6146 Cité Azrou, Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3528442;-9.4716586;;+212 5 28 24 14 34;
