Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Tazroute Al Yassamine;Agadir;;30.3616466330063;-9.455007371697246;;;
admin;🏛️;Ait Melloul Hay Azrou;AIT MELLOUL, AIT MELLOUL;;30.3600169;-9.4623284;;;
transport;🚌;Azrou 5 - Station Afriquia;;;30.3627089;-9.4528744;;;
transport;🚌;Afoulki;;;30.3604524;-9.4579786;;;
transport;🚌;Cooperative Taswite;;;30.3602302;-9.460693;;;
transport;🚌;3Eme Annexe Adminstrative;;;30.3600867;-9.4649792;;;
transport;🚌;Droguorie Ait Nasr;;;30.3598715;-9.4679189;;;
transport;🚌;Escuela Primaria Al Majd;;;30.3647941;-9.4473785;;;
cafe;☕;امين;;;30.3603732;-9.4581053;;;
cafe;☕;روزانو;Avenida MED V BLOC 3 AZROU;;30.3630063;-9.4527795;;;
pharmacie;💊;Farmacia Al Masjid;Aït Melloul;;30.3614608;-9.4542824;;;
pharmacie;💊;Farmacia Douhi;Aït Melloul;;30.3643346;-9.4540185;;;
pharmacie;💊;Farmacia Al Qods;Ait Melloul;;30.3629479;-9.4572327;;;
pharmacie;💊;Farmacia La Grande Pharmacie Azrou;Aït Melloul;;30.3603921;-9.4622184;;;
pharmacie;💊;Farmacia Assaiss;Aït Melloul;;30.3623588;-9.4622201;;;
pharmacie;💊;Farmacia Habiba;Aït Melloul;;30.3599137;-9.4665057;;;
ecole;🎓;مدرسة الرجاء;;;30.3652627;-9.4507612;;;
ecole;🎓;مدرسة القدس;;;30.3638048;-9.4575475;;;
ecole;🎓;مدرسة ابن تومرت;;;30.3610834;-9.4666827;;;
ecole;🎓;مدرسة جابر إبن حيان;;;30.3552932;-9.4582016;;;
ecole;🎓;مدرسة الأمل;;;30.3673478;-9.448326;;;
ecole;🎓;مدرسة الاجيال;;;30.3628772;-9.4624109;;;
