Projet;Latitude;Longitude;Adresse;code postal;ville
Tazroute;30.358739340382268  ;-9.460496051159458;;;
Dar Ben Cheikh;30.361823687819253  ;-9.436652468018211;;;
TAZROUTE AL YASSAMINE ;30.3616466330063 ; -9.455007371697246;;;
Farah;30.3993056;-9.5658333;;;
Jawhara;30.37330218386743; -9.537246673098128;;;
lot AMICAL I;30.33269020682961;-9.511278096688889;;;
lot AZROU;30.358741122541407;-9.460487731940148;;;
lot bayt a lmawada;30.381708282802176;-9.468861100000003;;;
lot FOUNTY;30.400406468380485; -9.573180104254527;;;
lot NAHDA 2;30.303208344750637; -9.463554523291856;;;
lot NOURIBA;30.286319551951344; -9.445231073012442;;;
lot OUMLKHIR;30.377062501451444; -9.532202833132777;;;
lot ROUCHDI;30.36979082285423; -9.546574272796358;;;
lot SOUIRI JADIDA;30.373111188081978; -9.512491642271256;;;
lot TAMASSINTE;30.361843473533938; -9.436648798796663;;;
lot TF 15119 immo mdinti;30.341023243738118; -9.505896014440106;;;
R+3 ANDALUSIA;30.37161637201584; -9.523500675483383;;;
R+4 K&B;30.371826407823608; -9.549940706126623;;;
